STATION,NAME,DATE,TMAX,TMIN
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",1/1/03,50,40
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",1/2/03,57,50
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",1/3/03,54,43
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",1/4/03,58,45
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",1/5/03,49,33
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",1/6/03,52,29
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",1/7/03,52,28
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",1/8/03,56,29
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",1/9/03,50,34
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",1/10/03,44,26
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",1/11/03,44,27
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",1/12/03,46,36
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",1/13/03,49,35
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",1/14/03,47,32
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",1/15/03,43,31
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",1/16/03,47,33
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",1/17/03,50,31
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",1/18/03,50,29
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",1/19/03,48,30
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",1/20/03,47,33
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",1/21/03,45,36
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",1/22/03,54,37
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",1/23/03,52,45
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",1/24/03,51,45
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",1/25/03,58,45
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",1/26/03,59,46
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",1/27/03,49,37
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",1/28/03,49,36
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",1/29/03,49,33
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",1/30/03,53,38
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",1/31/03,53,46
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",2/1/03,50,39
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",2/2/03,47,42
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",2/3/03,46,30
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",2/4/03,45,29
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",2/5/03,47,27
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",2/6/03,49,27
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",2/7/03,40,27
