Neighborhood,,Date,Day of week,,,Expected Number of Property Crimes,,,
,,,,,,,,,
Kitsilano,,10-May,Thursday,1200am-1159am,,15,,,
Kitsilano,,10-May,Thursday,1200pm-1159pm,,13,,,
Kitsilano,,11-May,Friday,1200am-1159am,,17,,,
Kitsilano,,11-May,Friday,1200pm-1159pm,,14,,,
Kitsilano,,12-May,Saturday,1200am-1159am,,16,,,
Kitsilano,,12-May,Saturday,1200pm-1159pm,,5,,,
Victoria-Fraserview,,10-May,Thursday,1200am-1159am,,3,,,
Victoria-Fraserview,,10-May,Thursday,1200pm-1159pm,,3,,,
Victoria-Fraserview,,11-May,Friday,1200am-1159am,,0,,,
Victoria-Fraserview,,11-May,Friday,1200pm-1159pm,,3,,,
Victoria-Fraserview,,12-May,Saturday,1200am-1159am,,4,,,
Victoria-Fraserview,,12-May,Saturday,1200pm-1159pm,,2,,,
West End,,10-May,Thursday,1200am-1159am,,3,,,
West End,,10-May,Thursday,1200pm-1159pm,,2,,,
West End,,11-May,Friday,1200am-1159am,,1,,,
West End,,11-May,Friday,1200pm-1159pm,,0,,,
West End,,12-May,Saturday,1200am-1159am,,1,,,
West End,,12-May,Saturday,1200pm-1159pm,,4,,,
Riley Park,,10-May,Thursday,1200am-1159am,,0,,,
Riley Park,,10-May,Thursday,1200pm-1159pm,,3,,,
Riley Park,,11-May,Friday,1200am-1159am,,3,,,
Riley Park,,11-May,Friday,1200pm-1159pm,,1,,,
Riley Park,,12-May,Saturday,1200am-1159am,,3,,,
Riley Park,,12-May,Saturday,1200pm-1159pm,,1,,,
Strathcona,,10-May,Thursday,1200am-1159am,,2,,,
Strathcona,,10-May,Thursday,1200pm-1159pm,,0,,,
Strathcona,,11-May,Friday,1200am-1159am,,2,,,
Strathcona,,11-May,Friday,1200pm-1159pm,,3,,,
Strathcona,,12-May,Saturday,1200am-1159am,,5,,,
Strathcona,,12-May,Saturday,1200pm-1159pm,,3,,,
Kerrisdale,,10-May,Thursday,1200am-1159am,,4,,,
Kerrisdale,,10-May,Thursday,1200pm-1159pm,,2,,,
Kerrisdale,,11-May,Friday,1200am-1159am,,0,,,
Kerrisdale,,11-May,Friday,1200pm-1159pm,,0,,,
Kerrisdale,,12-May,Saturday,1200am-1159am,,2,,,
Kerrisdale,,12-May,Saturday,1200pm-1159pm,,4,,,
Dunbar-Southlands,,10-May,Thursday,1200am-1159am,,0,,,
Dunbar-Southlands,,10-May,Thursday,1200pm-1159pm,,1,,,
Dunbar-Southlands,,11-May,Friday,1200am-1159am,,2,,,
Dunbar-Southlands,,11-May,Friday,1200pm-1159pm,,0,,,
Dunbar-Southlands,,12-May,Saturday,1200am-1159am,,3,,,
Dunbar-Southlands,,12-May,Saturday,1200pm-1159pm,,2,,,
Sunset,,10-May,Thursday,1200am-1159am,,0,,,
Sunset,,10-May,Thursday,1200pm-1159pm,,2,,,
Sunset,,11-May,Friday,1200am-1159am,,4,,,
Sunset,,11-May,Friday,1200pm-1159pm,,0,,,
Sunset,,12-May,Saturday,1200am-1159am,,2,,,
Sunset,,12-May,Saturday,1200pm-1159pm,,0,,,
Arbutus Ridge,,10-May,Thursday,1200am-1159am,,3,,,
Arbutus Ridge,,10-May,Thursday,1200pm-1159pm,,2,,,
Arbutus Ridge,,11-May,Friday,1200am-1159am,,0,,,      
Arbutus Ridge,,11-May,Friday,1200pm-1159pm,,2,,,
Arbutus Ridge,,12-May,Saturday,1200am-1159am,,4,,,
Arbutus Ridge,,12-May,Saturday,1200pm-1159pm,,0,,,
Marpole,,10-May,Thursday,1200am-1159am,,1,,,
Marpole,,10-May,Thursday,1200pm-1159pm,,3,,,
Marpole,,11-May,Friday,1200am-1159am,,0,,,      
Marpole,,11-May,Friday,1200pm-1159pm,,2,,,
Marpole,,12-May,Saturday,1200am-1159am,,4,,,
Marpole,,12-May,Saturday,1200pm-1159pm,,5,,,
Shaughnessy,,10-May,Thursday,1200am-1159am,,2,,,
Shaughnessy,,10-May,Thursday,1200pm-1159pm,,0,,,
Shaughnessy,,11-May,Friday,1200am-1159am,,2,,,
Shaughnessy,,11-May,Friday,1200pm-1159pm,,1,,,
Shaughnessy,,12-May,Saturday,1200am-1159am,,0,,,
Shaughnessy,,12-May,Saturday,1200pm-1159pm,,0,,,
Killarney,,10-May,Thursday,1200am-1159am,,2,,,
Killarney,,10-May,Thursday,1200pm-1159pm,,1,,,
Killarney,,11-May,Friday,1200am-1159am,,1,,,
Killarney,,11-May,Friday,1200pm-1159pm,,0,,,
Killarney,,12-May,Saturday,1200am-1159am,,0,,,
Killarney,,12-May,Saturday,1200pm-1159pm,,3,,,
Fairview,,10-May,Thursday,1200am-1159am,,5,,,
Fairview,,10-May,Thursday,1200pm-1159pm,,4,,,
Fairview,,11-May,Friday,1200am-1159am,,3,,,
Fairview,,11-May,Friday,1200pm-1159pm,,1,,,
Fairview,,12-May,Saturday,1200am-1159am,,1,,,
Fairview,,12-May,Saturday,1200pm-1159pm,,0,,,
Mount Pleasant,,10-May,Thursday,1200am-1159am,,2,,,
Mount Pleasant,,10-May,Thursday,1200pm-1159pm,,5,,,
Mount Pleasant,,11-May,Friday,1200am-1159am,,2,,,
Mount Pleasant,,11-May,Friday,1200pm-1159pm,,7,,,
Mount Pleasant,,12-May,Saturday,1200am-1159am,,2,,,
Mount Pleasant,,12-May,Saturday,1200pm-1159pm,,0,,,
Grandview Woodland,,10-May,Thursday,1200am-1159am,,3,,,
Grandview Woodland,,10-May,Thursday,1200pm-1159pm,,2,,,
Grandview Woodland,,11-May,Friday,1200am-1159am,,2,,,
Grandview Woodland,,11-May,Friday,1200pm-1159pm,,1,,,
Grandview Woodland,,12-May,Saturday,1200am-1159am,,5,,,
Grandview Woodland,,12-May,Saturday,1200pm-1159pm,,2,,,
Renfrew-Collingwood,,10-May,Thursday,1200am-1159am,,0,,,
Renfrew-Collingwood,,10-May,Thursday,1200pm-1159pm,,0,,,
Renfrew-Collingwood,,11-May,Friday,1200am-1159am,,1,,,
Renfrew-Collingwood,,11-May,Friday,1200pm-1159pm,,4,,,
Renfrew-Collingwood,,12-May,Saturday,1200am-1159am,,0,,,
Renfrew-Collingwood,,12-May,Saturday,1200pm-1159pm,,0,,,
Hastings-Sunrise,,10-May,Thursday,1200am-1159am,,5,,,
Hastings-Sunrise,,10-May,Thursday,1200pm-1159pm,,4,,,
Hastings-Sunrise,,11-May,Friday,1200am-1159am,,0,,,
Hastings-Sunrise,,11-May,Friday,1200pm-1159pm,,1,,,
Hastings-Sunrise,,12-May,Saturday,1200am-1159am,,3,,,
Hastings-Sunrise,,12-May,Saturday,1200pm-1159pm,,2,,,
Kensington-Cedar Cottage,,10-May,Thursday,1200am-1159am,,4,,,
Kensington-Cedar Cottage,,10-May,Thursday,1200pm-1159pm,,2,,,
Kensington-Cedar Cottage,,11-May,Friday,1200am-1159am,,1,,,
Kensington-Cedar Cottage,,11-May,Friday,1200pm-1159pm,,0,,,
