date,seasonally_adjusted_unemployment,unadjusted_unemployment
3-Jan,7.9,7.5
3-Feb,7.6,7.5
3-Mar,7,7.2
3-Apr,7.1,7.1
3-May,7.2,7.1
3-Jun,7.1,7.1
3-Jul,7.5,7.6
3-Aug,7.7,7.9
3-Sep,8.3,8.4
3-Oct,7.8,7.8
3-Nov,7.4,7.1
3-Dec,6.7,6.1
4-Jan,6.6,6.2
4-Feb,6.7,6.5
4-Mar,6.8,7.1
4-Apr,7.1,7.2
4-May,7.1,7.1
4-Jun,7.1,7.1
4-Jul,6.7,6.9
4-Aug,6.5,7.2
4-Sep,6.4,7
4-Oct,6.6,6.9
4-Nov,6.7,6.4
4-Dec,6.6,6
5-Jan,6.5,6
5-Feb,6.5,6.3
5-Mar,6.5,6.7
5-Apr,6.3,6.4
5-May,6,6.1
5-Jun,5.8,5.9
5-Jul,5.9,6.2
5-Aug,5.8,6.4
5-Sep,5.6,6.1
5-Oct,5.1,5.4
5-Nov,4.8,4.4
5-Dec,4.7,4.1
6-Jan,4.7,4.5
6-Feb,4.7,4.8
6-Mar,4.6,4.9
6-Apr,4.3,4.3
6-May,4.1,4.2
6-Jun,4,4.1
6-Jul,4.1,4.5
6-Aug,4.1,4.6
6-Sep,4.2,4.8
6-Oct,4.2,4.3
6-Nov,4.3,4
6-Dec,4.5,4
7-Jan,4.5,4.3
7-Feb,4.1,4.1
7-Mar,3.5,3.7
7-Apr,3.7,3.7
7-May,4,4.1
7-Jun,4.3,4.5
7-Jul,4.1,4.3
7-Aug,3.9,4.2
7-Sep,4,4.2
7-Oct,4.2,4.2
7-Nov,4.3,4
7-Dec,4.1,3.7
8-Jan,3.8,3.7
8-Feb,3.7,3.7
8-Mar,3.7,3.9
8-Apr,3.9,4
8-May,4.1,4.2
8-Jun,4.2,4.4
8-Jul,4.2,4.4
8-Aug,4.2,4.4
8-Sep,4.2,4.3
8-Oct,4.3,4.1
8-Nov,4.5,4.1
8-Dec,5,4.4
9-Jan,5.4,5
9-Feb,6,5.9
9-Mar,6.4,6.6
9-Apr,6.9,7
9-May,7.1,7.4
9-Jun,7.3,7.5
9-Jul,7.4,7.6
9-Aug,7.7,7.8
9-Sep,7.4,7.4
9-Oct,7.6,7.3
9-Nov,7.5,7.1
9-Dec,7.8,7.3
10-Jan,7.9,7.6
10-Feb,7.8,7.6
10-Mar,7.7,7.9
10-Apr,7.5,7.7
10-May,7.6,7.8
10-Jun,7.6,7.8
10-Jul,7.6,7.7
10-Aug,7.3,7.8
10-Sep,7.2,7.6
10-Oct,7.2,7.3
10-Nov,7,6.6
10-Dec,6.9,6.4
11-Jan,6.9,6.7
11-Feb,7.9,7.8
11-Mar,8.1,8.3
11-Apr,8.3,8.5
11-May,7.6,7.8
11-Jun,7.3,7.4
11-Jul,7.1,7.3
11-Aug,7.4,7.7
11-Sep,7.2,7.5
11-Oct,6.9,7.1
11-Nov,6.7,6.5
11-Dec,7,6.6
12-Jan,7,6.8
12-Feb,6.9,6.7
12-Mar,6.7,6.7
12-Apr,6.4,6.4
12-May,6.6,6.6
12-Jun,6.6,6.6
12-Jul,6.9,7
12-Aug,6.9,7
12-Sep,6.9,7.1
12-Oct,7,7.1
12-Nov,7,6.9
12-Dec,6.9,6.6
13-Jan,6.8,6.9
13-Feb,6.6,6.7
13-Mar,6.9,7.1
13-Apr,6.9,6.8
13-May,6.6,6.7
13-Jun,6.4,6.4
13-Jul,6.5,6.5
13-Aug,6.9,7
13-Sep,6.8,7
13-Oct,6.6,6.6
13-Nov,6.4,6.2
13-Dec,6.4,5.9
14-Jan,6.2,5.9
14-Feb,6.1,6
14-Mar,5.9,6
14-Apr,5.8,5.7
14-May,5.6,5.6
14-Jun,5.7,5.6
14-Jul,5.8,5.8
14-Aug,5.9,5.9
14-Sep,6.1,6.2
14-Oct,6.3,6.3
14-Nov,6.2,6
14-Dec,6,5.6
15-Jan,5.9,5.6
15-Feb,5.9,5.8
15-Mar,5.8,6.1
15-Apr,5.9,6
15-May,6,6.2
15-Jun,6.1,6.1
15-Jul,5.9,6
15-Aug,5.8,5.8
15-Sep,5.9,6
15-Oct,6,6
15-Nov,5.8,5.7
15-Dec,5.8,5.4
16-Jan,5.8,5.4
16-Feb,6.2,6
16-Mar,6.2,6.4
16-Apr,5.9,6
16-May,5.5,5.7
16-Jun,5.2,5.3
16-Jul,5.3,5.5
16-Aug,5.2,5.4
16-Sep,4.9,5.3
16-Oct,5,5.2
16-Nov,5.1,5.1
16-Dec,5.1,4.8
17-Jan,5,4.8
17-Feb,4.7,4.7
17-Mar,4.7,5
17-Apr,4.8,4.9
17-May,5.2,5.3
17-Jun,5.1,5.1
17-Jul,4.9,5.2
17-Aug,4.6,4.8
17-Sep,4.4,4.7
17-Oct,4.2,4.3
17-Nov,4.2,4.1
17-Dec,4.1,3.9
18-Jan,4.1,4
18-Feb,3.9,3.9
18-Mar,4,4.2
18-Apr,4,4.2
18-May,4,4.2
18-Jun,4,4.2
