,neighborhood,year,month,day,day_of_week,day_segment,number_of_crimes
0,Central Business District,2018,7,28,Saturday,1200am-1159am,8.85676097869873
1,Central Business District,2018,7,28,Saturday,1200pm-1159pm,17.1083984375
2,Central Business District,2018,7,29,Sunday,1200am-1159am,9.47216510772705
3,Central Business District,2018,7,29,Sunday,1200pm-1159pm,15.582473754882812
4,Central Business District,2018,7,30,Monday,1200am-1159am,7.616323947906494
5,Central Business District,2018,7,30,Monday,1200pm-1159pm,13.88045597076416
6,Central Business District,2018,7,31,Tuesday,1200am-1159am,8.638367652893066
7,Central Business District,2018,7,31,Tuesday,1200pm-1159pm,16.266498565673828
8,Central Business District,2018,8,1,Wednesday,1200am-1159am,7.60759973526001
9,Central Business District,2018,8,1,Wednesday,1200pm-1159pm,14.090739250183105
10,Central Business District,2018,8,2,Thursday,1200am-1159am,8.229644775390625
11,Central Business District,2018,8,2,Thursday,1200pm-1159pm,15.695548057556152
12,Central Business District,2018,8,3,Friday,1200am-1159am,8.31937026977539
13,Central Business District,2018,8,3,Friday,1200pm-1159pm,15.069275856018066
0,Kitsilano,2018,7,28,Saturday,1200am-1159am,2.0652127265930176
1,Kitsilano,2018,7,28,Saturday,1200pm-1159pm,2.872276544570923
2,Kitsilano,2018,7,29,Sunday,1200am-1159am,2.0652127265930176
3,Kitsilano,2018,7,29,Sunday,1200pm-1159pm,2.872276544570923
4,Kitsilano,2018,7,30,Monday,1200am-1159am,2.0652127265930176
5,Kitsilano,2018,7,30,Monday,1200pm-1159pm,2.872276544570923
6,Kitsilano,2018,7,31,Tuesday,1200am-1159am,2.0652127265930176
7,Kitsilano,2018,7,31,Tuesday,1200pm-1159pm,2.872276544570923
8,Kitsilano,2018,8,1,Wednesday,1200am-1159am,2.1728241443634033
9,Kitsilano,2018,8,1,Wednesday,1200pm-1159pm,2.968877077102661
10,Kitsilano,2018,8,2,Thursday,1200am-1159am,2.1728241443634033
11,Kitsilano,2018,8,2,Thursday,1200pm-1159pm,2.968877077102661
12,Kitsilano,2018,8,3,Friday,1200am-1159am,2.1728241443634033
13,Kitsilano,2018,8,3,Friday,1200pm-1159pm,2.968877077102661
14,Victoria-Fraserview,2018,7,28,Saturday,1200am-1159am,1.4916443824768066
15,Victoria-Fraserview,2018,7,28,Saturday,1200pm-1159pm,1.9466701745986938
16,Victoria-Fraserview,2018,7,29,Sunday,1200am-1159am,1.4916443824768066
17,Victoria-Fraserview,2018,7,29,Sunday,1200pm-1159pm,1.9466701745986938
18,Victoria-Fraserview,2018,7,30,Monday,1200am-1159am,1.4916443824768066
19,Victoria-Fraserview,2018,7,30,Monday,1200pm-1159pm,1.9466701745986938
20,Victoria-Fraserview,2018,7,31,Tuesday,1200am-1159am,1.4916443824768066
21,Victoria-Fraserview,2018,7,31,Tuesday,1200pm-1159pm,1.9466701745986938
22,Victoria-Fraserview,2018,8,1,Wednesday,1200am-1159am,1.5502586364746094
23,Victoria-Fraserview,2018,8,1,Wednesday,1200pm-1159pm,2.0175554752349854
24,Victoria-Fraserview,2018,8,2,Thursday,1200am-1159am,1.5502586364746094
25,Victoria-Fraserview,2018,8,2,Thursday,1200pm-1159pm,2.0175554752349854
