,neighborhood,year,month,day,day_of_week,day_segment,number_of_crimes
0,Central Business District,2018,6,16,Saturday,1200am-1159am,8.53231430053711
1,Central Business District,2018,6,16,Saturday,1200pm-1159pm,16.856273651123047
2,Central Business District,2018,6,17,Sunday,1200am-1159am,8.720471382141113
3,Central Business District,2018,6,17,Sunday,1200pm-1159pm,14.703091621398926
4,Central Business District,2018,6,18,Monday,1200am-1159am,6.961440563201904
5,Central Business District,2018,6,18,Monday,1200pm-1159pm,12.902507781982422
6,Central Business District,2018,6,19,Tuesday,1200am-1159am,7.81724214553833
7,Central Business District,2018,6,19,Tuesday,1200pm-1159pm,15.302521705627441
8,Central Business District,2018,6,20,Wednesday,1200am-1159am,7.703185558319092
9,Central Business District,2018,6,20,Wednesday,1200pm-1159pm,13.937424659729004
10,Central Business District,2018,6,21,Thursday,1200am-1159am,8.340513229370117
11,Central Business District,2018,6,21,Thursday,1200pm-1159pm,14.877649307250977
12,Central Business District,2018,6,22,Friday,1200am-1159am,8.236587524414062
13,Central Business District,2018,6,22,Friday,1200pm-1159pm,14.773724555969238
0,Kitsilano,2018,6,16,Saturday,1200am-1159am,2.1581242084503174
1,Kitsilano,2018,6,16,Saturday,1200pm-1159pm,2.970578670501709
2,Kitsilano,2018,6,17,Sunday,1200am-1159am,2.1581242084503174
3,Kitsilano,2018,6,17,Sunday,1200pm-1159pm,2.970578670501709
4,Kitsilano,2018,6,18,Monday,1200am-1159am,2.145081043243408
5,Kitsilano,2018,6,18,Monday,1200pm-1159pm,2.9575352668762207
6,Kitsilano,2018,6,19,Tuesday,1200am-1159am,2.145081043243408
7,Kitsilano,2018,6,19,Tuesday,1200pm-1159pm,2.9575352668762207
8,Kitsilano,2018,6,20,Wednesday,1200am-1159am,2.1305952072143555
9,Kitsilano,2018,6,20,Wednesday,1200pm-1159pm,2.943049907684326
10,Kitsilano,2018,6,21,Thursday,1200am-1159am,2.112271308898926
11,Kitsilano,2018,6,21,Thursday,1200pm-1159pm,2.9247255325317383
12,Kitsilano,2018,6,22,Friday,1200am-1159am,2.112271308898926
13,Kitsilano,2018,6,22,Friday,1200pm-1159pm,2.9247255325317383
14,Victoria-Fraserview,2018,6,16,Saturday,1200am-1159am,1.5251625776290894
15,Victoria-Fraserview,2018,6,16,Saturday,1200pm-1159pm,1.9771931171417236
16,Victoria-Fraserview,2018,6,17,Sunday,1200am-1159am,1.5251625776290894
17,Victoria-Fraserview,2018,6,17,Sunday,1200pm-1159pm,1.9771931171417236
18,Victoria-Fraserview,2018,6,18,Monday,1200am-1159am,1.5121192932128906
19,Victoria-Fraserview,2018,6,18,Monday,1200pm-1159pm,1.964149832725525
20,Victoria-Fraserview,2018,6,19,Tuesday,1200am-1159am,1.5121192932128906
21,Victoria-Fraserview,2018,6,19,Tuesday,1200pm-1159pm,1.964149832725525
22,Victoria-Fraserview,2018,6,20,Wednesday,1200am-1159am,1.497633695602417
23,Victoria-Fraserview,2018,6,20,Wednesday,1200pm-1159pm,1.9496642351150513
24,Victoria-Fraserview,2018,6,21,Thursday,1200am-1159am,1.4793095588684082
25,Victoria-Fraserview,2018,6,21,Thursday,1200pm-1159pm,1.9313400983810425
26,Victoria-Fraserview,2018,6,22,Friday,1200am-1159am,1.4793095588684082
27,Victoria-Fraserview,2018,6,22,Friday,1200pm-1159pm,1.9313400983810425
28,West End,2018,6,16,Saturday,1200am-1159am,3.2164041996002197
29,West End,2018,6,16,Saturday,1200pm-1159pm,4.81548547744751
30,West End,2018,6,17,Sunday,1200am-1159am,3.2164041996002197
31,West End,2018,6,17,Sunday,1200pm-1159pm,4.81548547744751
32,West End,2018,6,18,Monday,1200am-1159am,3.158726215362549
33,West End,2018,6,18,Monday,1200pm-1159pm,4.757807731628418
34,West End,2018,6,19,Tuesday,1200am-1159am,3.158726215362549
35,West End,2018,6,19,Tuesday,1200pm-1159pm,4.757807731628418
36,West End,2018,6,20,Wednesday,1200am-1159am,3.1442408561706543
37,West End,2018,6,20,Wednesday,1200pm-1159pm,4.743322372436523
38,West End,2018,6,21,Thursday,1200am-1159am,3.1120007038116455
39,West End,2018,6,21,Thursday,1200pm-1159pm,4.605957508087158
40,West End,2018,6,22,Friday,1200am-1159am,3.1120007038116455
41,West End,2018,6,22,Friday,1200pm-1159pm,4.605957508087158
42,Riley Park,2018,6,16,Saturday,1200am-1159am,1.6849323511123657
43,Riley Park,2018,6,16,Saturday,1200pm-1159pm,2.158557653427124
44,Riley Park,2018,6,17,Sunday,1200am-1159am,1.6849323511123657
45,Riley Park,2018,6,17,Sunday,1200pm-1159pm,2.158557653427124
46,Riley Park,2018,6,18,Monday,1200am-1159am,1.671889066696167
47,Riley Park,2018,6,18,Monday,1200pm-1159pm,2.145514488220215
48,Riley Park,2018,6,19,Tuesday,1200am-1159am,1.671889066696167
49,Riley Park,2018,6,19,Tuesday,1200pm-1159pm,2.145514488220215
50,Riley Park,2018,6,20,Wednesday,1200am-1159am,1.6574034690856934
51,Riley Park,2018,6,20,Wednesday,1200pm-1159pm,2.131028652191162
52,Riley Park,2018,6,21,Thursday,1200am-1159am,1.6390793323516846
53,Riley Park,2018,6,21,Thursday,1200pm-1159pm,2.1127047538757324
54,Riley Park,2018,6,22,Friday,1200am-1159am,1.6390793323516846
55,Riley Park,2018,6,22,Friday,1200pm-1159pm,2.1127047538757324
56,Kerrisdale,2018,6,16,Saturday,1200am-1159am,1.4863694906234741
57,Kerrisdale,2018,6,16,Saturday,1200pm-1159pm,1.8960239887237549
58,Kerrisdale,2018,6,17,Sunday,1200am-1159am,1.4863694906234741
59,Kerrisdale,2018,6,17,Sunday,1200pm-1159pm,1.8960239887237549
60,Kerrisdale,2018,6,18,Monday,1200am-1159am,1.4733264446258545
61,Kerrisdale,2018,6,18,Monday,1200pm-1159pm,1.8829807043075562
62,Kerrisdale,2018,6,19,Tuesday,1200am-1159am,1.4733264446258545
63,Kerrisdale,2018,6,19,Tuesday,1200pm-1159pm,1.8829807043075562
64,Kerrisdale,2018,6,20,Wednesday,1200am-1159am,1.4588408470153809
65,Kerrisdale,2018,6,20,Wednesday,1200pm-1159pm,1.8684951066970825
66,Kerrisdale,2018,6,21,Thursday,1200am-1159am,1.440516471862793
67,Kerrisdale,2018,6,21,Thursday,1200pm-1159pm,1.8501709699630737
68,Kerrisdale,2018,6,22,Friday,1200am-1159am,1.440516471862793
69,Kerrisdale,2018,6,22,Friday,1200pm-1159pm,1.8501709699630737
70,Dunbar-Southlands,2018,6,16,Saturday,1200am-1159am,1.4879897832870483
71,Dunbar-Southlands,2018,6,16,Saturday,1200pm-1159pm,1.902408480644226
72,Dunbar-Southlands,2018,6,17,Sunday,1200am-1159am,1.4879897832870483
73,Dunbar-Southlands,2018,6,17,Sunday,1200pm-1159pm,1.902408480644226
74,Dunbar-Southlands,2018,6,18,Monday,1200am-1159am,1.4749464988708496
75,Dunbar-Southlands,2018,6,18,Monday,1200pm-1159pm,1.8893651962280273
76,Dunbar-Southlands,2018,6,19,Tuesday,1200am-1159am,1.4749464988708496
77,Dunbar-Southlands,2018,6,19,Tuesday,1200pm-1159pm,1.8893651962280273
78,Dunbar-Southlands,2018,6,20,Wednesday,1200am-1159am,1.460460901260376
79,Dunbar-Southlands,2018,6,20,Wednesday,1200pm-1159pm,1.8748795986175537
80,Dunbar-Southlands,2018,6,21,Thursday,1200am-1159am,1.442136526107788
81,Dunbar-Southlands,2018,6,21,Thursday,1200pm-1159pm,1.856555461883545
82,Dunbar-Southlands,2018,6,22,Friday,1200am-1159am,1.442136526107788
83,Dunbar-Southlands,2018,6,22,Friday,1200pm-1159pm,1.856555461883545
84,Sunset,2018,6,16,Saturday,1200am-1159am,1.7942416667938232
85,Sunset,2018,6,16,Saturday,1200pm-1159pm,2.267867088317871
86,Sunset,2018,6,17,Sunday,1200am-1159am,1.7942416667938232
87,Sunset,2018,6,17,Sunday,1200pm-1159pm,2.267867088317871
88,Sunset,2018,6,18,Monday,1200am-1159am,1.7811983823776245
89,Sunset,2018,6,18,Monday,1200pm-1159pm,2.254823684692383
90,Sunset,2018,6,19,Tuesday,1200am-1159am,1.7811983823776245
91,Sunset,2018,6,19,Tuesday,1200pm-1159pm,2.254823684692383
92,Sunset,2018,6,20,Wednesday,1200am-1159am,1.7667127847671509
93,Sunset,2018,6,20,Wednesday,1200pm-1159pm,2.240338087081909
94,Sunset,2018,6,21,Thursday,1200am-1159am,1.748388648033142
95,Sunset,2018,6,21,Thursday,1200pm-1159pm,2.2220139503479004
96,Sunset,2018,6,22,Friday,1200am-1159am,1.748388648033142
97,Sunset,2018,6,22,Friday,1200pm-1159pm,2.2220139503479004
98,Arbutus Ridge,2018,6,16,Saturday,1200am-1159am,1.4119315147399902
99,Arbutus Ridge,2018,6,16,Saturday,1200pm-1159pm,1.6645148992538452
100,Arbutus Ridge,2018,6,17,Sunday,1200am-1159am,1.4119315147399902
101,Arbutus Ridge,2018,6,17,Sunday,1200pm-1159pm,1.6645148992538452
102,Arbutus Ridge,2018,6,18,Monday,1200am-1159am,1.398888111114502
103,Arbutus Ridge,2018,6,18,Monday,1200pm-1159pm,1.6514716148376465
104,Arbutus Ridge,2018,6,19,Tuesday,1200am-1159am,1.398888111114502
105,Arbutus Ridge,2018,6,19,Tuesday,1200pm-1159pm,1.6514716148376465
106,Arbutus Ridge,2018,6,20,Wednesday,1200am-1159am,1.3844027519226074
107,Arbutus Ridge,2018,6,20,Wednesday,1200pm-1159pm,1.6369860172271729
108,Arbutus Ridge,2018,6,21,Thursday,1200am-1159am,1.3660783767700195
109,Arbutus Ridge,2018,6,21,Thursday,1200pm-1159pm,1.618661880493164
110,Arbutus Ridge,2018,6,22,Friday,1200am-1159am,1.3660783767700195
111,Arbutus Ridge,2018,6,22,Friday,1200pm-1159pm,1.618661880493164
112,Marpole,2018,6,16,Saturday,1200am-1159am,1.7481119632720947
113,Marpole,2018,6,16,Saturday,1200pm-1159pm,2.2217373847961426
114,Marpole,2018,6,17,Sunday,1200am-1159am,1.7481119632720947
115,Marpole,2018,6,17,Sunday,1200pm-1159pm,2.2217373847961426
116,Marpole,2018,6,18,Monday,1200am-1159am,1.735068678855896
117,Marpole,2018,6,18,Monday,1200pm-1159pm,2.2086939811706543
118,Marpole,2018,6,19,Tuesday,1200am-1159am,1.735068678855896
119,Marpole,2018,6,19,Tuesday,1200pm-1159pm,2.2086939811706543
120,Marpole,2018,6,20,Wednesday,1200am-1159am,1.7205830812454224
121,Marpole,2018,6,20,Wednesday,1200pm-1159pm,2.1942083835601807
122,Marpole,2018,6,21,Thursday,1200am-1159am,1.7022589445114136
123,Marpole,2018,6,21,Thursday,1200pm-1159pm,2.175884246826172
124,Marpole,2018,6,22,Friday,1200am-1159am,1.7022589445114136
125,Marpole,2018,6,22,Friday,1200pm-1159pm,2.175884246826172
126,Shaughnessy,2018,6,16,Saturday,1200am-1159am,1.4525843858718872
127,Shaughnessy,2018,6,16,Saturday,1200pm-1159pm,1.7571418285369873
128,Shaughnessy,2018,6,17,Sunday,1200am-1159am,1.4525843858718872
129,Shaughnessy,2018,6,17,Sunday,1200pm-1159pm,1.7571418285369873
130,Shaughnessy,2018,6,18,Monday,1200am-1159am,1.439540982246399
131,Shaughnessy,2018,6,18,Monday,1200pm-1159pm,1.7440985441207886
132,Shaughnessy,2018,6,19,Tuesday,1200am-1159am,1.439540982246399
133,Shaughnessy,2018,6,19,Tuesday,1200pm-1159pm,1.7440985441207886
134,Shaughnessy,2018,6,20,Wednesday,1200am-1159am,1.4250555038452148
135,Shaughnessy,2018,6,20,Wednesday,1200pm-1159pm,1.729612946510315
136,Shaughnessy,2018,6,21,Thursday,1200am-1159am,1.4150294065475464
137,Shaughnessy,2018,6,21,Thursday,1200pm-1159pm,1.719586968421936
138,Shaughnessy,2018,6,22,Friday,1200am-1159am,1.4150294065475464
139,Shaughnessy,2018,6,22,Friday,1200pm-1159pm,1.719586968421936
140,Killarney,2018,6,16,Saturday,1200am-1159am,1.534093976020813
141,Killarney,2018,6,16,Saturday,1200pm-1159pm,1.9920721054077148
142,Killarney,2018,6,17,Sunday,1200am-1159am,1.534093976020813
143,Killarney,2018,6,17,Sunday,1200pm-1159pm,1.9920721054077148
144,Killarney,2018,6,18,Monday,1200am-1159am,1.5210506916046143
145,Killarney,2018,6,18,Monday,1200pm-1159pm,1.9790288209915161
146,Killarney,2018,6,19,Tuesday,1200am-1159am,1.5210506916046143
147,Killarney,2018,6,19,Tuesday,1200pm-1159pm,1.9790288209915161
148,Killarney,2018,6,20,Wednesday,1200am-1159am,1.5065650939941406
149,Killarney,2018,6,20,Wednesday,1200pm-1159pm,1.9645432233810425
150,Killarney,2018,6,21,Thursday,1200am-1159am,1.4882410764694214
151,Killarney,2018,6,21,Thursday,1200pm-1159pm,1.9462190866470337
152,Killarney,2018,6,22,Friday,1200am-1159am,1.4882410764694214
153,Killarney,2018,6,22,Friday,1200pm-1159pm,1.9462190866470337
154,Fairview,2018,6,16,Saturday,1200am-1159am,2.532172918319702
155,Fairview,2018,6,16,Saturday,1200pm-1159pm,3.400925874710083
156,Fairview,2018,6,17,Sunday,1200am-1159am,2.532172918319702
157,Fairview,2018,6,17,Sunday,1200pm-1159pm,3.400925874710083
158,Fairview,2018,6,18,Monday,1200am-1159am,2.519129514694214
159,Fairview,2018,6,18,Monday,1200pm-1159pm,3.3878824710845947
160,Fairview,2018,6,19,Tuesday,1200am-1159am,2.519129514694214
161,Fairview,2018,6,19,Tuesday,1200pm-1159pm,3.3878824710845947
162,Fairview,2018,6,20,Wednesday,1200am-1159am,2.5046441555023193
